n	m	dir	nc	slc	dens	cc	apl	dia
333	682	0	22	282	0.01233763884366294	0.17149262096020923	2.1740495159338677	14
193	240	0	30	120	0.012953367875647668	0.26745435016111707	3.2131670131669496	10.2
184	247	0	27	122	0.014670943216916133	0.23779193205944799	2.087942403444948	11.166666666666668
140	195	0	17	102	0.020041109969167522	0.20543478260869566	2.3791143721438974	10.166666666666668
