original_firstname	original_lastname	first_name	family_name	source	initials	wos_form
STUART R	COLES	STUART R	COLES	ISGC	SR	COLES SR
MARGARIDA	MARTINS	MARGARIDA	MARTINS	ISGC	M	MARTINS M
ARMANDO	SILVESTRE	ARMANDO J D	SILVESTRE	ISGC	A	SILVESTRE A
ULF	PRÜSSE	ULF	PRUESSE	ISGC	U	PRUSSE U
ERIC	WEINGART	ERIC	WEINGART	ISGC	E	WEINGART E
LINDA	TEEVS	LINDA	TEEVS	ISGC	L	TEEVS L
CORNELIUS	STAUDE	CORNELIUS	STAUDE	ISGC	C	STAUDE C
STEFAN	WOLFRUM	STEFAN	WOLFRUM	ISGC	S	WOLFRUM S
WERNER	KUNZ	WERNER	KUNZ	ISGC	W	KUNZ W
ABDALLAH	HAMEL	ABDALLAH	HAMEL	ISGC	A	HAMEL A
CLARENCE CHARNAY	CHARNAY	CLARENCE CHARNAY	CHARNAY	ISGC	CC	CHARNAY CC
CARINE	ALFOS	CARINE	ALFOS	ISGC	C	ALFOS C
RAFFAELE	CUCCINIELLO	RAFFAELE	CUCCINIELLO	ISGC	R	CUCCINIELLO R
MARIA	RICCIARDI	MARIA	RICCIARDI	ISGC	M	RICCIARDI M
DANIELE	CESPI	DANIELE	CESPI	ISGC	D	CESPI D
FABRIZIO	PASSARINI	FABRIZIO	PASSARINI	ISGC	F	PASSARINI F
JOEL	BARRAULT	JOEL	BARRAULT	ISGC	J	BARRAULT J
CARMINE	CAPACCHIONE	CARMINE	CAPACCHIONE	ISGC	C	CAPACCHIONE C
ANTONIO	PROTO	ANTONIO	PROTO	ISGC	A	PROTO A
MICHIEL	DUSSELIER	MICHIEL	DUSSELIER	ISGC	M	DUSSELIER M
ANNELIES	DEWAELE	ANNELIES	DEWAELE	ISGC	A	DEWAELE A
RIK	DE CLERCQ	RIK	DE CLERCQ	ISGC	R	DE CLERCQ R
BERT	SELS	BERT F	SELS	ISGC	B	SELS B
EVELIEN	VANLEEUW	EVELIEN	VANLEEUW	ISGC	E	VANLEEUW E
JASPER	VERDUYCKT	JASPER	VERDUYCKT	ISGC	J	VERDUYCKT J
ROBIN	COECK	ROBIN	COECK	ISGC	R	COECK R
DIRK	DE VOS	DIRK	DE VOS	ISGC	D	DE VOS D
LÉA	BONNOT	LEA	BONNOT	ISGC	L	BONNOT L
DONATIEN	GOMES RODRIGUES	DONATIEN	GOMES RODRIGUES	ISGC	D	GOMES RODRIGUES D
PIERRE	BAUDUIN	PIERRE	BAUDUIN	ISGC	P	BAUDUIN P
OPHÉLIE	FADEL	OPHELIE	FADEL	ISGC	O	FADEL O
LUC	GIRARD	LUC	GIRARD	ISGC	L	GIRARD L
ANNABELLE	L'HERMITTE	ANNABELLE	LHERMITTE	ISGC	A	L'HERMITTE A
ANNE	ROSSIGNOL-CASTERA	ANNE	ROSSIGNOL CASTERA	ISGC	A	ROSSIGNOL-CASTERA A
OLIVIER	DIAT	OLIVIER	DIAT	ISGC	O	DIAT O
LAURENT	VANOYE	LAURENT	VANOYE	ISGC	L	VANOYE L
TAMARA M	SANTOS	TAMARA M	SANTOS	ISGC	TM	SANTOS TM
VICTORIA	RIGUAL	VICTORIA	RIGUAL	ISGC	V	RIGUAL V
M VIRGINIA	ALONSO	M VIRGINIA	ALONSO	ISGC	MV	ALONSO MV
MERCEDES	OLIET	MERCEDES	OLIET	ISGC	M	OLIET M
JUAN C	DOMINGUEZ	JUAN C	DOMINGUEZ	ISGC	JC	DOMINGUEZ JC
FRANCISCO	RODRIGUEZ	FRANCISCO	RODRIGUEZ	ISGC	F	RODRIGUEZ F
JENNIFER	MACKELLAR	JENNIFER	MACKELLAR	ISGC	J	MACKELLAR J
DAVID	CONSTABLE	DAVID J	CHICHESTER CONSTABLE	ISGC	D	CONSTABLE D
MARY	KIRCHHOFF	MARY	KIRCHHOFF	ISGC	M	KIRCHHOFF M
CYRIL	PIREZ	CYRIL	PIREZ	ISGC	C	PIREZ C
WENHAO	FANG	WENHAO	FANG	ISGC	W	FANG W
JEAN-MARC	CLACENS	JEAN MARC	CLACENS	ISGC	J	CLACENS J
FLORYAN	DE CAMPO	FLORYAN	DE CAMPO	ISGC	F	DE CAMPO F
ARMIN	LIEBENS	ARMIN	LIEBENS	ISGC	A	LIEBENS A
MARC	PERA-TITUS	MARC	PERA TITUS	ISGC	M	PERA-TITUS M
ZHAOJIANG	WANG	ZHAOJIANG	WANG	ISGC	Z	WANG Z
MENGHUA	QIN	MENGHUA	QIN	ISGC	M	QIN M
YONGCHAO	ZHANG	YONGCHAO	ZHANG	ISGC	Y	ZHANG Y
JIAYUN	XU	JIAYUN	XU	ISGC	J	XU J
ROSENANI A	HAQUE	ROSENANI ANWAEUL	HAQUE	ISGC	RA	HAQUE RA
SELIN	VITAS	SELIN	VITAS	ISGC	S	VITAS S
TOBIAS	KEPLINGER	TOBIAS	KEPLINGER	ISGC	T	KEPLINGER T
ETIENNE	CABANE	ETIENNE	CABANE	ISGC	E	CABANE E
SÉBASTIEN	PAUL	SEBASTIEN	PAUL	ISGC	S	PAUL S
MÓNICA	JIMÉNEZ-RUIZ	MONICA	JIMENEZ RUIZ	ISGC	M	JIMENEZ-RUIZ M
HERVÉ	JOBIC	HERVE	JOBIC	ISGC	H	JOBIC H
LOUISE	JALOWIECKI-DUHAMEL	LOUISE	JALOWIECKI DUHAMEL	ISGC	L	JALOWIECKI-DUHAMEL L
FRANCK	DUMEIGNIL	FRANCK	DUMEIGNIL	ISGC	F	DUMEIGNIL F
MARIELLE	LEMAIRE	MARIELLE	LEMAIRE	ISGC	M	LEMAIRE M
VÉRONIQUE	DE BERARDINIS	VERONIQUE	DE BERARDINIS	ISGC	V	DE BERARDINIS V
CHRISTINE	GUÉRARD-HÉLAINE	CHRISTINE	GUERARD HELAINE	ISGC	C	GUERARD-HELAINE C
VIRGIL	HÉLAINE	VIRGIL	HELAINE	ISGC	V	HELAINE V
WOLF-DIETER	FESSNER	WOLF DIETER	FESSNER	ISGC	W	FESSNER W
PERE	CLAPÉS	PERE	CLAPES	ISGC	P	CLAPES P
MARCEL	SALANOUBAT	MARCEL	SALANOUBAT	ISGC	M	SALANOUBAT M
MAKSYM	OPANASENKO	MAKSYM	OPANASENKO	ISGC	M	OPANASENKO M
MARIYA	SHAMZHY	MARIYA	SHAMZHY	ISGC	M	SHAMZHY M
VALERYIA	KASNERYK	VALERYIA	KASNERYK	ISGC	V	KASNERYK V
JIRÍ	CEJKA	JIRI	CEJKA	ISGC	J	CEJKA J
NICOLAS	NUTTENS	NICOLAS	NUTTENS	ISGC	N	NUTTENS N
DANNY	VERBOEKEND	DANNY	VERBOEKEND	ISGC	D	VERBOEKEND D
JOOST	VAN AELST	JOOST	VAN AELST	ISGC	J	VAN AELST J
ARON	DENEYER	ARON	DENEYER	ISGC	A	DENEYER A
TIMUR	DOGU	TIMUR	DOGU	ISGC	T	DOGU T
F	MONNET	F	MONNET	ISGC	F	MONNET F
R A	GROSS	R A	GROSS	ISGC	RA	GROSS RA
J	HARTWIG	J	HARTWIG	ISGC	J	HARTWIG J
O	KAPPE	C OLIVER	KAPPE	ISGC	O	KAPPE O
Y	WANG	YE	WANG	ISGC	Y	WANG Y
P	WASSERCHEID	PETER	WASSERSCHEID	ISGC	P	WASSERCHEID P
V	BELLIERE-BACA	VIRGINIE	BELLIERE BACA	ISGC	V	BELLIERE-BACA V
B	ESTRINE	BORIS	ESTRINE	ISGC	B	ESTRINE B
J	GUILBOT	JEROME	GUILBOT	ISGC	J	GUILBOT J
A	CABIAC	AMANDINE	CABIAC	ISGC	A	CABIAC A
R	LUQUE	RAFAEL	LUQUE	ISGC	R	LUQUE R
M	MEIER	MICHAEL A R	MEIER	ISGC	M	MEIER M
E	NORRANT	E	NORRANT	ISGC	E	NORRANT E
N	PATOUILLARD	NORBERT	PATOUILLARD	ISGC	N	PATOUILLARD N
T	PHAN	TONY	PHAN	ISGC	T	PHAN T
GUANG-HUI	WANG	GUANG HUI	WANG	ISGC	G	WANG G
EDWARD	NÜRENBERG	EDWARD	NURENBERG	ISGC	E	NURENBERG E
PIERRE-LUC	DURAND	PIERRE LUC	DURAND	ISGC	P	DURAND P
ERWAN	LE GROGNEC	ERWAN	LE GROGNEC	ISGC	E	LE GROGNEC E
ULIANA	AKHMETZYANOVA	ULIANA	AKHMETZYANOVA	ISGC	U	AKHMETZYANOVA U
OLEG	KIKHTYANIN	OLEG	KIKHTYANIN	ISGC	O	KIKHTYANIN O
THOMAS	MARIE	THOMAS	MARIE	ISGC	T	MARIE T
GAËLLE	WILLIG	GAELLE	WILLIG	ISGC	G	WILLIG G
JEAN-HUGUES	RENAULT	JEAN HUGUES	RENAULT	ISGC	J	RENAULT J
EGOR	FUFACHEV	EGOR	FUFACHEV	ISGC	E	FUFACHEV E
PIETER	BRUIJNINCX	PIETER C A	BRUIJNINCX	ISGC	P	BRUIJNINCX P
YONGTAEK	LEE	YONGTAEK	LEE	ISGC	Y	LEE Y
ROBERT	RYCZKOWSKI	ROBERT	RYCZKOWSKI	ISGC	R	RYCZKOWSKI R
PIOTR	PRZYBYSZ	PIOTR	PRZYBYSZ	ISGC	P	PRZYBYSZ P
AGNIESZKA M	RUPPERT	AGNIESZKA M	RUPPERT	ISGC	AM	RUPPERT AM
JACEK	GRAMS	JACEK	GRAMS	ISGC	J	GRAMS J
CLAUDE	GRISON	CLAUDE	GRISON	ISGC	C	GRISON C
VINCENT	ESCANDE	VINCENT	ESCANDE	ISGC	V	ESCANDE V
CYRIL	POULLAIN	CYRIL	POULLAIN	ISGC	C	POULLAIN C
PETER	HESEMANN	PETER	HESEMANN	ISGC	P	HESEMANN P
EDDY	PETIT	EDDY	PETIT	ISGC	E	PETIT E
HELENE	MEHEUST	HELENE	MEHEUST	ISGC	H	MEHEUST H
MOHAMED EL HADI	BENHALOUCHE	MOHAMED EL HADI	BENHALOUCHE	ISGC	MEH	BENHALOUCHE MEH
ABDELLAH	MILOUDI	ABDELLAH	MILOUDI	ISGC	A	MILOUDI A
STEPHANIE	MAERTEN	STEPHANIE	MAERTEN	ISGC	S	MAERTEN S
FATIMA	EL OUAHABI	FATIMA	EL OUAHABI	ISGC	F	EL OUAHABI F
ALEXIS	MÉTAIS	ALEXIS	METAIS	ISGC	A	METAIS A
JULIAN	KADAR	JULIAN	KADAR	ISGC	J	KADAR J
JAKOB	ALBERT	JAKOB	ALBERT	ISGC	J	ALBERT J
PETER	WASSERSCHEID	PETER	WASSERSCHEID	ISGC	P	WASSERSCHEID P
DIMITRIS	COLLIAS	DIMITRIS	COLLIAS	ISGC	D	COLLIAS D
YUHE	LIAO	YUHE	LIAO	ISGC	Y	LIAO Y
SÉBASTIEN	TILLOY	SEBASTIEN	TILLOY	ISGC	S	TILLOY S
AURÉLIEN	COCQ	AURELIEN	COCQ	ISGC	A	COCQ A
HERVÉ	BRICOUT	HERVE	BRICOUT	ISGC	H	BRICOUT H
CYRIL	ROUSSEAU	CYRIL	ROUSSEAU	ISGC	C	ROUSSEAU C
ERIC	MONFLIER	ERIC	MONFLIER	ISGC	E	MONFLIER E
RITA	CRAVEIRO	RITA	CRAVEIRO	ISGC	R	CRAVEIRO R
SUSANA	BARREIROS	SUSANA	BARREIROS	ISGC	S	BARREIROS S
A R D	DUARTE	ANA RITA C	DUARTE	ISGC	ARD	DUARTE ARD
ALEXANDRE	PAIVA	ALEXANDRE	PAIVA	ISGC	A	PAIVA A
R L	REIS	RUI L	REIS	ISGC	RL	REIS RL
JUAN ANTONIO	MELERO	JUAN ANTONIO	MELERO	ISGC	JA	MELERO JA
JOSE	IGLESIAS	JOSE	IGLESIAS	ISGC	J	IGLESIAS J
CLARA	LOPEZ AGUADO	CLARA	LOPEZ AGUADO	ISGC	C	LOPEZ AGUADO C
GABRIEL	MORALES	GABRIEL	MORALES	ISGC	G	MORALES G
JUAN A	MELERO	JUAN ANTONIO	MELERO	ISGC	JA	MELERO JA
MARTA	PANIAGUA	MARTA	PANIAGUA	ISGC	M	PANIAGUA M
