name	original_firstname	original_lastname	first_name	family_name	source	initials	wos_form
GEORGIY, DMITRIEV	GEORGIY	DMITRIEV	GEORGIY	DMITRIEV	ISGC	G	DMITRIEV G
ANNICK, DOAN	ANNICK	DOAN	ANNICK	DOAN	ISGC	A	DOAN A
JENNIFER, DODSON	JENNIFER	DODSON	JENNIFER	DODSON	ISGC	J	DODSON J
GULSEN, DOGU	GULSEN	DOGU	GULSEN	DOGU	ISGC	G	DOGU G
TIMUR, DOGU	TIMUR	DOGU	TIMUR	DOGU	ISGC	T	DOGU T
WILLIAM, DOHERTY	WILLIAM	DOHERTY	WILLIAM	DOHERTY	ISGC	W	DOHERTY W
PATRICE, DOLE	PATRICE	DOLE	PATRICE	DOLE	ISGC	P	DOLE P
THOMAS, DOMBRAY	THOMAS	DOMBRAY	THOMAS	DOMBRAY	ISGC	T	DOMBRAY T
SANDRA, DOMENEK	SANDRA	DOMENEK	SANDRA	DOMENEK	ISGC	S	DOMENEK S
MARCELO E, DOMINE	MARCELO E	DOMINE	MARCELO EDUARDO	DOMINE	ISGC	ME	DOMINE ME
MARCELO EDUARDO, DOMINE	MARCELO EDUARDO	DOMINE	MARCELO EDUARDO	DOMINE	ISGC	ME	DOMINE ME
FERNANDO, DOMINGUES	FERNANDO	DOMINGUES	FERNANDO M J	DOMINGUES	ISGC	F	DOMINGUES F
FERNANDO M J, DOMINGUES	FERNANDO M J	DOMINGUES	FERNANDO M J	DOMINGUES	ISGC	FMJ	DOMINGUES FMJ
LUCÍLIA, DOMINGUES	LUCÍLIA	DOMINGUES	LUCILIA	DOMINGUES	ISGC	L	DOMINGUES L
LUCILIA, DOMINGUES	LUCILIA	DOMINGUES	LUCILIA	DOMINGUES	ISGC	L	DOMINGUES L
JUAN C, DOMINGUEZ	JUAN C	DOMINGUEZ	JUAN C	DOMINGUEZ	ISGC	JC	DOMINGUEZ JC
JUAN C, DOMÍNGUEZ	JUAN C	DOMÍNGUEZ	JUAN C	DOMINGUEZ	ISGC	JC	DOMINGUEZ JC
PABLO DOMINGUEZ DE, MARIA	PABLO DOMINGUEZ DE	MARIA	PABLO	DOMINGUEZ DE MARIA	ISGC	PDD	MARIA PDD
PABLO, DOMINGUEZ DE MARIA	PABLO	DOMINGUEZ DE MARIA	PABLO	DOMINGUEZ DE MARIA	ISGC	P	DOMINGUEZ DE MARIA P
LISIANNE, DOMON	LISIANNE	DOMON	LISIANNE	DOMON	ISGC	L	DOMON L
ANTONIO, DONAIRE	ANTONIO	DONAIRE	ANTONIO	DONAIRE	ISGC	A	DONAIRE A
MINGHUI, DONG	MINGHUI	DONG	MINGHUI	DONG	ISGC	M	DONG M
GERALD, DONNELLY	GERALD	DONNELLY	GERALD	DONNELLY	ISGC	G	DONNELLY G
RUEY-AN, DOONG	RUEY-AN	DOONG	RUEY AN	DOONG	ISGC	R	DOONG R
RUEY AN, DOONG	RUEY AN	DOONG	RUEY AN	DOONG	ISGC	RA	DOONG RA
VICENTE, DORADO	VICENTE	DORADO	VICENTE	DORADO	ISGC	V	DORADO V
MATTHIEU, DORBEC	MATTHIEU	DORBEC	MATTHIEU	DORBEC	ISGC	M	DORBEC M
VINCENT, DORCET	VINCENT	DORCET	VINCENT	DORCET	ISGC	V	DORCET V
STEPHAN, DOREY	STEPHAN	DOREY	STEPHAN	DOREY	ISGC	S	DOREY S
JOSÉ CLEITON S, DOS SANTOS	JOSÉ CLEITON S	DOS SANTOS	JOSE CLEITON S	DOS SANTOS	ISGC	JCS	DOS SANTOS JCS
JOSE CLEITON S, DOS SANTOS	JOSE CLEITON S	DOS SANTOS	JOSE CLEITON S	DOS SANTOS	ISGC	JCS	DOS SANTOS JCS
JOSE CLEITON, SOUSA DOS SANTOS	JOSE CLEITON	SOUSA DOS SANTOS	JOSE CLEITON S	DOS SANTOS	other	JC	SOUSA DOS SANTOS JC
MARIA FERNANDA, DOS SANTOS MOTA	MARIA FERNANDA	DOS SANTOS MOTA	MARIA FERNANDA	DOS SANTOS MOTA	ISGC	MF	DOS SANTOS MOTA MF
ABDELKADER, DOUAOUI	ABDELKADER	DOUAOUI	ABDELKADER	DOUAOUI	ISGC	A	DOUAOUI A
VINCENT, DOUAY	VINCENT	DOUAY	VINCENT	DOUAY	ISGC	V	DOUAY V
JEAN-LOUIS, DOUBLIER	JEAN-LOUIS	DOUBLIER	JEAN LOUIS	DOUBLIER	ISGC	J	DOUBLIER J
JEAN LOUIS, DOUBLIER	JEAN LOUIS	DOUBLIER	JEAN LOUIS	DOUBLIER	ISGC	JL	DOUBLIER JL
PETER, DRABO	PETER	DRABO	PETER	DRABO	ISGC	P	DRABO P
ANDREEA, DRAGU	ANDREEA	DRAGU	ANDREEA	DRAGU	ISGC	A	DRAGU A
MICHELINE, DRAYE	MICHELINE	DRAYE	MICHELINE	DRAYE	ISGC	M	DRAYE M
SIHEM, DRIAI	SIHEM	DRIAI	SIHEM	DRIAI	ISGC	S	DRIAI S
NICOLAS, DRILLAUD	NICOLAS	DRILLAUD	NICOLAS	DRILLAUD	ISGC	N	DRILLAUD N
MARTIJN, DROESBEKE	MARTIJN	DROESBEKE	MARTIJN	DROESBEKE	ISGC	M	DROESBEKE M
JULLIEN, DRONE	JULLIEN	DRONE	JULLIEN	DRONE	ISGC	J	DRONE J
ELODIE, DRULA	ELODIE	DRULA	ELODIE	DRULA	ISGC	E	DRULA E
GUANGQING, DU	GUANGQING	DU	GUANGQING	DU	ISGC	G	DU G
YONGHUA, DU	YONGHUA	DU	YONGHUA	DU	ISGC	Y	DU Y
FILIP, DU PREZ	FILIP	DU PREZ	FILIP	DU PREZ	ISGC	F	DU PREZ F
YAQING, DUAN	YAQING	DUAN	YAQING	DUAN	ISGC	Y	DUAN Y
A R D, DUARTE	A R D	DUARTE	ANA RITA C	DUARTE	ISGC	ARD	DUARTE ARD
ANA RITA C, DUARTE	ANA RITA C	DUARTE	ANA RITA C	DUARTE	ISGC	ARC	DUARTE ARC
ANA RITA, DUARTE	ANA RITA	DUARTE	ANA RITA C	DUARTE	ISGC	AR	DUARTE AR
ANA, DUARTE	ANA	DUARTE	ANA RITA C	DUARTE	ISGC	A	DUARTE A
ANA R, DUARTE	ANA R	DUARTE	ANA RITA C	DUARTE	ISGC	AR	DUARTE AR
HERNÁN ANTONIO, DUARTE	HERNÁN ANTONIO	DUARTE	HERNAN ANTONIO	DUARTE	ISGC	HA	DUARTE HA
HERNAN ANTONIO, DUARTE	HERNAN ANTONIO	DUARTE	HERNAN ANTONIO	DUARTE	ISGC	HA	DUARTE HA
JEAN LUC, DUBOIS	JEAN LUC	DUBOIS	JEAN LUC	DUBOIS	ISGC	JL	DUBOIS JL
JEAN-LUC, DUBOIS	JEAN-LUC	DUBOIS	JEAN LUC	DUBOIS	ISGC	J	DUBOIS J
J L, DUBOIS	J L	DUBOIS	JEAN LUC	DUBOIS	ISGC	JL	DUBOIS JL
MATHIEU, DUBOIS	MATHIEU	DUBOIS	MATHIEU	DUBOIS	ISGC	M	DUBOIS M
PHILIPPE, DUBOIS	PHILIPPE	DUBOIS	PHILIPPE	DUBOIS	ISGC	P	DUBOIS P
ERIC, DUBREUCQ	ERIC	DUBREUCQ	ERIC	DUBREUCQ	ISGC	E	DUBREUCQ E
MARIE-CHRISTINE, DUCLOS	MARIE-CHRISTINE	DUCLOS	MARIE CHRISTINE	DUCLOS	ISGC	M	DUCLOS M
MARIE CHRISTINE, DUCLOS	MARIE CHRISTINE	DUCLOS	MARIE CHRISTINE	DUCLOS	ISGC	MC	DUCLOS MC
PAUL-HENRI, DUCROT	PAUL-HENRI	DUCROT	PAUL HENRI	DUCROT	ISGC	P	DUCROT P
PAUL HENRI, DUCROT	PAUL HENRI	DUCROT	PAUL HENRI	DUCROT	ISGC	PH	DUCROT PH
PAULA, DUENAS RAMIREZ	PAULA	DUENAS RAMIREZ	PAULA	DUENAS RAMIREZ	ISGC	P	DUENAS RAMIREZ P
VÉRONIQUE, DUFAUD	VÉRONIQUE	DUFAUD	VERONIQUE	DUFAUD	ISGC	V	DUFAUD V
VERONIQUE, DUFAUD	VERONIQUE	DUFAUD	VERONIQUE	DUFAUD	ISGC	V	DUFAUD V
A, DUFFY	A	DUFFY	A	DUFFY	ISGC	A	DUFFY A
ANTHONY, DUFOUR	ANTHONY	DUFOUR	ANTHONY	DUFOUR	ISGC	A	DUFOUR A
DELPHINE, DUFOUR	DELPHINE	DUFOUR	DELPHINE	DUFOUR	ISGC	D	DUFOUR D
NICOLAS, DUGUET	NICOLAS	DUGUET	NICOLAS	DUGUET	ISGC	N	DUGUET N
CLAIRE, DUMAS	CLAIRE	DUMAS	CLAIRE	DUMAS	ISGC	C	DUMAS C
FRANÇOISE, DUMAS	FRANÇOISE	DUMAS	FRANCOISE	DUMAS	ISGC	F	DUMAS F
FRANCOISE, DUMAS	FRANCOISE	DUMAS	FRANCOISE	DUMAS	ISGC	F	DUMAS F
FRANCK, DUMEIGNIL	FRANCK	DUMEIGNIL	FRANCK	DUMEIGNIL	ISGC	F	DUMEIGNIL F
FRANK, DUMEIGNIL	FRANK	DUMEIGNIL	FRANCK	DUMEIGNIL	ISGC	F	DUMEIGNIL F
FRANK, DUMEIGNIL	FRANK	DUMEIGNIL	FRANK	DUMEIGNIL	ISGC	F	DUMEIGNIL F
JAMES A, DUMESIC	JAMES A	DUMESIC	JAMES A	DUMESIC	ISGC	JA	DUMESIC JA
OANA, DUMITRESCU	OANA	DUMITRESCU	OANA	DUMITRESCU	ISGC	O	DUMITRESCU O
ALEXANDRE, DUMON	ALEXANDRE	DUMON	ALEXANDRE	DUMON	ISGC	A	DUMON A
PETTER, DUNÅS	PETTER	DUNÅS	PETTER	DUNAS	ISGC	P	DUNAS P
PETTER, DUNAS	PETTER	DUNAS	PETTER	DUNAS	ISGC	P	DUNAS P
PHILIPPE, DUPAU	PHILIPPE	DUPAU	PHILIPPE	DUPAU	ISGC	P	DUPAU P
STEPHANIE, DUPOIRON	STEPHANIE	DUPOIRON	STEPHANIE	DUPOIRON	ISGC	S	DUPOIRON S
CAPUCINE, DUPONT	CAPUCINE	DUPONT	CAPUCINE	DUPONT	ISGC	C	DUPONT C
DAVID, DUPONT	DAVID	DUPONT	DAVID	DUPONT	ISGC	D	DUPONT D
THÉO, DUPONT	THÉO	DUPONT	THEO	DUPONT	ISGC	T	DUPONT T
THEO, DUPONT	THEO	DUPONT	THEO	DUPONT	ISGC	T	DUPONT T
SÉBASTIEN, DUPRAT DE PAULE	SÉBASTIEN	DUPRAT DE PAULE	SEBASTIEN	DUPRAT DE PAULE	ISGC	S	DUPRAT DE PAULE S
S DUPRAT DE, PAULE	S DUPRAT DE	PAULE	SEBASTIEN	DUPRAT DE PAULE	ISGC	SDD	PAULE SDD
SEBASTIEN, DUPRAT DE PAULE	SEBASTIEN	DUPRAT DE PAULE	SEBASTIEN	DUPRAT DE PAULE	ISGC	S	DUPRAT DE PAULE S
BLAISE, DUPRE	BLAISE	DUPRE	BLAISE	DUPRE	ISGC	B	DUPRE B
SOPHIE, DUQUESNE	SOPHIE	DUQUESNE	SOPHIE	DUQUESNE	ISGC	S	DUQUESNE S
PIERRE-LUC, DURAND	PIERRE-LUC	DURAND	PIERRE LUC	DURAND	ISGC	P	DURAND P
PIERRE LUC, DURAND	PIERRE LUC	DURAND	PIERRE LUC	DURAND	ISGC	PL	DURAND PL
RACHEL, DURAND	RACHEL	DURAND	RACHEL	DURAND	ISGC	R	DURAND R
VANESSA, DURRIEU	VANESSA	DURRIEU	VANESSA	DURRIEU	ISGC	V	DURRIEU V
MARC, DUSSAUZE	MARC	DUSSAUZE	MARC	DUSSAUZE	ISGC	M	DUSSAUZE M
MATTHIEU, DUSSAUZE	MATTHIEU	DUSSAUZE	MATTHIEU	DUSSAUZE	ISGC	M	DUSSAUZE M
MICHIEL, DUSSELIER	MICHIEL	DUSSELIER	MICHIEL	DUSSELIER	ISGC	M	DUSSELIER M
CORENTIN, DUSSENNE	CORENTIN	DUSSENNE	CORENTIN	DUSSENNE	ISGC	C	DUSSENNE C
JEAN-PIERRE, DUTASTA	JEAN-PIERRE	DUTASTA	JEAN PIERRE	DUTASTA	ISGC	J	DUTASTA J
JEAN PIERRE, DUTASTA	JEAN PIERRE	DUTASTA	JEAN PIERRE	DUTASTA	ISGC	JP	DUTASTA JP
HUGO, DUTILLEUL	HUGO	DUTILLEUL	HUGO	DUTILLEUL	ISGC	H	DUTILLEUL H
ERICA, DUTRA ALBUQUERQUE	ERICA	DUTRA ALBUQUERQUE	ERICA	DUTRA ALBUQUERQUE	ISGC	E	DUTRA ALBUQUERQUE E
SAIKAT, DUTTA	SAIKAT	DUTTA	SAIKAT	DUTTA	ISGC	S	DUTTA S
J-C, DUVAL	J-C	DUVAL	JEAN CHRISTOPHE	DUVAL	ISGC	J	DUVAL J
JEAN CHRISTOPHE, DUVAL	JEAN CHRISTOPHE	DUVAL	JEAN CHRISTOPHE	DUVAL	ISGC	JC	DUVAL JC
MARION, DUVAL	MARION	DUVAL	MARION	DUVAL	ISGC	M	DUVAL M
UMA, DWIVEDI	UMA	DWIVEDI	UMA	DWIVEDI	ISGC	U	DWIVEDI U
EWELINA, DYBALSKA	EWELINA	DYBALSKA	EWELINA	DYBALSKA	ISGC	E	DYBALSKA E
GEORGY, DZHABAROV	GEORGY	DZHABAROV	GEORGY	DZHABAROV	ISGC	G	DZHABAROV G
ANGELIKA, EBERHARDT	ANGELIKA	EBERHARDT	ANGELIKA	EBERHARDT	ISGC	A	EBERHARDT A
MARTINA, EBERLE	MARTINA	EBERLE	MARTINA	EBERLE	ISGC	M	EBERLE M
GUILLAUME, ECHEVARRIA	GUILLAUME	ECHEVARRIA	GUILLAUME	ECHEVARRIA	ISGC	G	ECHEVARRIA G
DAVID, EDOUARD	DAVID	EDOUARD	DAVID	EDOUARD	ISGC	D	EDOUARD D
JENNIFER K, EDWARDS	JENNIFER K	EDWARDS	JENNIFER K	EDWARDS	ISGC	JK	EDWARDS JK
JOHNSON KWAME, EFAVI	JOHNSON KWAME	EFAVI	JOHNSON KWAME	EFAVI	ISGC	JK	EFAVI JK
JULIAN, EGGER	JULIAN	EGGER	JULIAN	EGGER	ISGC	J	EGGER J
GERRIT, EGGINK	GERRIT	EGGINK	GERRIT	EGGINK	ISGC	G	EGGINK G
SIMON, EIBNER	SIMON	EIBNER	SIMON	EIBNER	ISGC	S	EIBNER S
GOTTFRIED, EILENBERGER	GOTTFRIED	EILENBERGER	GOTTFRIED	EILENBERGER	ISGC	G	EILENBERGER G
PATRIK, EKLUND	PATRIK	EKLUND	PATRIK	EKLUND	ISGC	P	EKLUND P
FATIMA, EL BAHHAJ	FATIMA	EL BAHHAJ	FATIMA	EL BAHHAJ	ISGC	F	EL BAHHAJ F
ALI, EL BASSOUSSI	ALI	EL BASSOUSSI	ALI	EL BASSOUSSI	ISGC	A	EL BASSOUSSI A
MAGDI, BELKASSIM	MAGDI	BELKASSIM	MAGDI	EL FERGANI	ISGC	M	BELKASSIM M
MAGDI, EL FERGANI	MAGDI	EL FERGANI	MAGDI	EL FERGANI	ISGC	M	EL FERGANI M
AHMED, EL-HARAIRY	AHMED	EL-HARAIRY	AHMED	EL HARAIRY	ISGC	A	EL-HARAIRY A
AHMED, EL HARAIRY	AHMED	EL HARAIRY	AHMED	EL HARAIRY	ISGC	A	EL HARAIRY A
REDOUANE, EL KHALFAOUY	REDOUANE	EL KHALFAOUY	REDOUANE	EL KHALFAOUY	ISGC	R	EL KHALFAOUY R
MOHAMED, EL KHOUAKHI	MOHAMED	EL KHOUAKHI	MOHAMED	EL KHOUAKHI	ISGC	M	EL KHOUAKHI M
HAKIMA, EL KNIDRI	HAKIMA	EL KNIDRI	HAKIMA	EL KNIDRI	ISGC	H	EL KNIDRI H
IMANE, EL MRABET	IMANE	EL MRABET	IMANE	EL MRABET	ISGC	I	EL MRABET I
FATIMA, EL OUAHABI	FATIMA	EL OUAHABI	FATIMA	EL OUAHABI	ISGC	F	EL OUAHABI F
NADIA, EL OUAHEDY	NADIA	EL OUAHEDY	NADIA	EL OUAHEDY	ISGC	N	EL OUAHEDY N
AYMAN, EL ROZ	AYMAN	EL ROZ	AYMAN	EL ROZ	ISGC	A	EL ROZ A
ZAKI, EL SAYAH	ZAKI	EL SAYAH	ZAKI	EL SAYAH	ISGC	Z	EL SAYAH Z
SAMI, EL SAYED	SAMI	EL SAYED	SAMI	EL SAYED	ISGC	S	EL SAYED S
ANNE, ELAIN	ANNE	ELAIN	ANNE	ELAIN	ISGC	A	ELAIN A
CLAIRE, ELFAKIR	CLAIRE	ELFAKIR	CLAIRE	ELFAKIR	ISGC	C	ELFAKIR C
PHILIPPE, ELIAERS	PHILIPPE	ELIAERS	PHILIPPE	ELIAERS	ISGC	P	ELIAERS P
SAMUEL, ELLIOT	SAMUEL	ELLIOT	SAMUEL	ELLIOT	ISGC	S	ELLIOT S
LISA, ELLMAIER	LISA	ELLMAIER	LISA	ELLMAIER	ISGC	L	ELLMAIER L
KATHY, ELST	KATHY	ELST	KATHY	ELST	ISGC	K	ELST K
MADALIN, ENACHE	MADALIN	ENACHE	MADALIN	ENACHE	ISGC	M	ENACHE M
GERALD, ENDERLIN	GERALD	ENDERLIN	GERALD	ENDERLIN	ISGC	G	ENDERLIN G
NOR AZAM, ENDOT	NOR AZAM	ENDOT	NOR AZAM	ENDOT	ISGC	NA	ENDOT NA
THIJS, ENNAERT	THIJS	ENNAERT	THIJS	ENNAERT	ISGC	T	ENNAERT T
CEDRIC, EPOUNE LINGOME	CEDRIC	EPOUNE LINGOME	CEDRIC	EPOUNE LINGOME	ISGC	C	EPOUNE LINGOME C
GAUTHIER, EPPE	GAUTHIER	EPPE	GAUTHIER	EPPE	ISGC	G	EPPE G
KARI, ERÄNEN	KARI	ERÄNEN	KARI	ERANEN	ISGC	K	ERANEN K
KARI, ERAENEN	KARI	ERAENEN	KARI	ERANEN	ISGC	K	ERAENEN K
KARI, ERANEN	KARI	ERANEN	KARI	ERANEN	ISGC	K	ERANEN K
DILEK, ERCILI-CURA	DILEK	ERCILI-CURA	DILEK	ERCILI CURA	ISGC	D	ERCILI-CURA D
DILEK, ERCILI CURA	DILEK	ERCILI CURA	DILEK	ERCILI CURA	ISGC	D	ERCILI CURA D
IRENE, ERDELMEIER	IRENE	ERDELMEIER	IRENE	ERDELMEIER	ISGC	I	ERDELMEIER I
XABIER, ERDOCIA	XABIER	ERDOCIA	XABIER	ERDOCIA	ISGC	X	ERDOCIA X
MAHMUT, ERMEYDAN	MAHMUT	ERMEYDAN	MAHMUT	ERMEYDAN	ISGC	M	ERMEYDAN M
OVIDIU, ERSEN	OVIDIU	ERSEN	OVIDIU	ERSEN	ISGC	O	ERSEN O
HANNO C, ERYTHROPEL	HANNO C	ERYTHROPEL	HANNO C	ERYTHROPEL	ISGC	HC	ERYTHROPEL HC
VINCENT, ESCANDE	VINCENT	ESCANDE	VINCENT	ESCANDE	ISGC	V	ESCANDE V
QASSIM, ESMAEEL	QASSIM	ESMAEEL	QASSIM	ESMAEEL	ISGC	Q	ESMAEEL Q
CATHERINE, ESPECEL	CATHERINE	ESPECEL	CATHERINE	ESPECEL	ISGC	C	ESPECEL C
LETICIA ESPINOSA, ALFONSO	LETICIA ESPINOSA	ALFONSO	LETICIA	ESPINOSA ALONSO	ISGC	LE	ALFONSO LE
LETICIA, ESPINOSA ALONSO	LETICIA	ESPINOSA ALONSO	LETICIA	ESPINOSA ALONSO	ISGC	L	ESPINOSA ALONSO L
DAVIDE, ESPOSITO	DAVIDE	ESPOSITO	DAVIDE	ESPOSITO	ISGC	D	ESPOSITO D
NADINE, ESSAYEM	NADINE	ESSAYEM	NADINE	ESSAYEM	ISGC	N	ESSAYEM N
JULIEN, ESTAGER	JULIEN	ESTAGER	JULIEN	ESTAGER	ISGC	J	ESTAGER J
JESÚS, ESTEBAN	JESÚS	ESTEBAN	JESUS	ESTEBAN	ISGC	J	ESTEBAN J
JESUS, ESTEBAN	JESUS	ESTEBAN	JESUS	ESTEBAN	ISGC	J	ESTEBAN J
LIONEL, ESTEL	LIONEL	ESTEL	LIONEL	ESTEL	ISGC	L	ESTEL L
IDÁLIA HELENA, ESTEVAM	IDÁLIA HELENA	ESTEVAM	IDALIA HELENA	ESTEVAM	ISGC	IH	ESTEVAM IH
IDALIA HELENA, ESTEVAM	IDALIA HELENA	ESTEVAM	IDALIA HELENA	ESTEVAM	ISGC	IH	ESTEVAM IH
VALDEMAR I, ESTEVES	VALDEMAR I	ESTEVES	VALDEMAR I	ESTEVES	ISGC	VI	ESTEVES VI
BORIS, ESTRINE	BORIS	ESTRINE	BORIS	ESTRINE	ISGC	B	ESTRINE B
B, ESTRINE	B	ESTRINE	BORIS	ESTRINE	ISGC	B	ESTRINE B
VALERIE, ETA	VALERIE	ETA	VALERIE	ETA	ISGC	V	ETA V
M, ETERNOT	M	ETERNOT	MARION	ETERNOT	ISGC	M	ETERNOT M
MARION, ETERNOT	MARION	ETERNOT	MARION	ETERNOT	ISGC	M	ETERNOT M
ANNABELLE, EUDELINE-LY	ANNABELLE	EUDELINE-LY	ANNABELLE	EUDELINE LY	ISGC	A	EUDELINE-LY A
ANNABELLE, EUDELINE LY	ANNABELLE	EUDELINE LY	ANNABELLE	EUDELINE LY	ISGC	A	EUDELINE LY A
EMILIE, EVANNO	EMILIE	EVANNO	EMILIE	EVANNO	ISGC	E	EVANNO E
MOHAMED, EZZEJJARI	MOHAMED	EZZEJJARI	MOHAMED	EZZEJJARI	ISGC	M	EZZEJJARI M
KATARINA, FABICOVICOVA	KATARINA	FABICOVICOVA	KATARINA	FABICOVICOVA	ISGC	K	FABICOVICOVA K
BERNARD, FABRE	BERNARD	FABRE	BERNARD	FABRE	ISGC	B	FABRE B
MARTA, FABRE	MARTA	FABRE	MARTA	FABRE	ISGC	M	FABRE M
MAXENCE, FACHE	MAXENCE	FACHE	MAXENCE	FACHE	ISGC	M	FACHE M
OPHÉLIE, FADEL	OPHÉLIE	FADEL	OPHELIE	FADEL	ISGC	O	FADEL O
OPHELIE, FADEL	OPHELIE	FADEL	OPHELIE	FADEL	ISGC	O	FADEL O
AUDE, FALCIMAIGNE-CORDIN	AUDE	FALCIMAIGNE-CORDIN	AUDE	FALCIMAIGNE CORDIN	ISGC	A	FALCIMAIGNE-CORDIN A
AUDE, FALCIMAIGNE CORDIN	AUDE	FALCIMAIGNE CORDIN	AUDE	FALCIMAIGNE CORDIN	ISGC	A	FALCIMAIGNE CORDIN A
GUILLAUME, FALCO	GUILLAUME	FALCO	GUILLAUME	FALCO	ISGC	G	FALCO G
XAVIER, FALOURD	XAVIER	FALOURD	XAVIER	FALOURD	ISGC	X	FALOURD X
ANNE-LAURE, FAMEAU	ANNE-LAURE	FAMEAU	ANNE LAURE	FAMEAU	ISGC	A	FAMEAU A
ANNE LAURE, FAMEAU	ANNE LAURE	FAMEAU	ANNE LAURE	FAMEAU	ISGC	AL	FAMEAU AL
ANTONINO, FAMULARI	ANTONINO	FAMULARI	ANTONINO	FAMULARI	ISGC	A	FAMULARI A
JIAJUN, FAN	JIAJUN	FAN	JIAJUN	FAN	ISGC	J	FAN J
WEIGANG, FAN	WEIGANG	FAN	WEIGANG	FAN	ISGC	W	FAN W
YINGQI, FAN	YINGQI	FAN	YINGQI	FAN	ISGC	Y	FAN Y
ZHAO YU (FLORA), FAN	ZHAO YU (FLORA)	FAN	ZHAO YU (FLORA)	FAN	ISGC	ZY()	FAN ZY()
LIN, FANG	LIN	FANG	LIN	FANG	ISGC	L	FANG L
WENHAO, FANG	WENHAO	FANG	WENHAO	FANG	ISGC	W	FANG W
EVELYNE, FARGIN	EVELYNE	FARGIN	EVELYNE	FARGIN	ISGC	E	FARGIN E
EMANUELLE, FARIA	EMANUELLE	FARIA	EMANUELLE L P	FARIA	ISGC	E	FARIA E
EMANUELLE L P, FARIA	EMANUELLE L P	FARIA	EMANUELLE L P	FARIA	ISGC	ELP	FARIA ELP
THOMAS, FARMER	THOMAS	FARMER	THOMAS	FARMER	ISGC	T	FARMER T
RONALD A, FARRAR-TOBAR	RONALD A	FARRAR-TOBAR	RONALD A	FARRAR TOBAR	ISGC	RA	FARRAR-TOBAR RA
RONALD A, FARRAR TOBAR	RONALD A	FARRAR TOBAR	RONALD A	FARRAR TOBAR	ISGC	RA	FARRAR TOBAR RA
THIEMO, FASSBACH	THIEMO	FASSBACH	THIEMO	FASSBACH	ISGC	T	FASSBACH T
BEKKAR, FATIMA	BEKKAR	FATIMA	BEKKAR	FATIMA	ISGC	B	FATIMA B
AYODELE, FATONA	AYODELE	FATONA	AYODELE	FATONA	ISGC	A	FATONA A
MARIE-LAURE, FAUCONNIER	MARIE-LAURE	FAUCONNIER	MARIE LAURE	FAUCONNIER	ISGC	M	FAUCONNIER M
MARIE LAURE, FAUCONNIER	MARIE LAURE	FAUCONNIER	MARIE LAURE	FAUCONNIER	ISGC	ML	FAUCONNIER ML
CRAIG B, FAULDS	CRAIG B	FAULDS	CRAIG B	FAULDS	ISGC	CB	FAULDS CB
GIOVANNI, FAVA	GIOVANNI	FAVA	GIOVANNI	FAVA	ISGC	G	FAVA G
ISABELLE, FAVIER	ISABELLE	FAVIER	ISABELLE	FAVIER	ISGC	I	FAVIER I
ALAIN, FAVRE-REGUILLON	ALAIN	FAVRE-REGUILLON	ALAIN	FAVRE REGUILLON	ISGC	A	FAVRE-REGUILLON A
ALAIN, FAVRE-RÉGUILLON	ALAIN	FAVRE-RÉGUILLON	ALAIN	FAVRE REGUILLON	ISGC	A	FAVRE-REGUILLON A
ALAIN, FAVRE REGUILLON	ALAIN	FAVRE REGUILLON	ALAIN	FAVRE REGUILLON	ISGC	A	FAVRE REGUILLON A
AUDREY, FAVRELLE	AUDREY	FAVRELLE	AUDREY	FAVRELLE	ISGC	A	FAVRELLE A
EMMANUEL, FAVRY	EMMANUEL	FAVRY	EMMANUEL	FAVRY	ISGC	E	FAVRY E
CLEMENT, FAYE	CLEMENT	FAYE	CLEMENT	FAYE	ISGC	C	FAYE C
GUILLAUME, FAYET	GUILLAUME	FAYET	GUILLAUME	FAYET	ISGC	G	FAYET G
ANTOINE, FAYEULLE	ANTOINE	FAYEULLE	ANTOINE	FAYEULLE	ISGC	A	FAYEULLE A
ELIAS, FEGHALI	ELIAS	FEGHALI	ELIAS	FEGHALI	ISGC	E	FEGHALI E
ROLAND, FEINER	ROLAND	FEINER	ROLAND	FEINER	ISGC	R	FEINER R
AFSANEH, FEIZ	AFSANEH	FEIZ	AFSANEH	FEIZ	ISGC	A	FEIZ A
LJUDMILA, FELE ZILNIK	LJUDMILA	FELE ZILNIK	LJUDMILA	FELE ZILNIK	ISGC	L	FELE ZILNIK L
MARIANA CUNHA, FELIX	MARIANA CUNHA	FELIX	MARIANA CUNHA	FELIX	ISGC	MC	FELIX MC
FRANÇOIS-XAVIER, FELPIN	FRANÇOIS-XAVIER	FELPIN	FRANCOIS XAVIER	FELPIN	ISGC	F	FELPIN F
FRANCOIS XAVIER, FELPIN	FRANCOIS XAVIER	FELPIN	FRANCOIS XAVIER	FELPIN	ISGC	FX	FELPIN FX
CHENG-TAO, FENG	CHENG-TAO	FENG	CHENG TAO	FENG	ISGC	C	FENG C
CHENG TAO, FENG	CHENG TAO	FENG	CHENG TAO	FENG	ISGC	CT	FENG CT
XINZHEN, FENG	XINZHEN	FENG	XINZHEN	FENG	ISGC	X	FENG X
JOSÉ, FENOLL	JOSÉ	FENOLL	JOSE	FENOLL	ISGC	J	FENOLL J
JOSE, FENOLL	JOSE	FENOLL	JOSE	FENOLL	ISGC	J	FENOLL J
PIERRE, FERCHAUD	PIERRE	FERCHAUD	PIERRE	FERCHAUD	ISGC	P	FERCHAUD P
