name	original_firstname	original_lastname	first_name	family_name	source	initials	wos_form
NESREEN S, AHMED	NESREEN S	AHMED	NESREEN S	AHMED	ISGC	NS	AHMED NS
ATTE, AHO	ATTE	AHO	ATTE	AHO	ISGC	A	AHO A
JUHA, AHOLA	JUHA	AHOLA	JUHA	AHOLA	ISGC	J	AHOLA J
WANG, AIQIN	WANG	AIQIN	WANG	AIQIN	ISGC	W	AIQIN W
MUSTAPHA, AIT ALI	MUSTAPHA	AIT ALI	MUSTAPHA	AIT ALI	ISGC	M	AIT ALI M
ESSAÏD, AÏT BARKA	ESSAÏD	AÏT BARKA	ESSAID	AIT BARKA	ISGC	E	AIT BARKA E
ESSAID, AIT BARKA	ESSAID	AIT BARKA	ESSAID	AIT BARKA	ISGC	E	AIT BARKA E
HICHAM, AITRASS	HICHAM	AITRASS	HICHAM	AIT RASS	ISGC	H	AITRASS H
HICHAM, AIT RASS	HICHAM	AIT RASS	HICHAM	AIT RASS	ISGC	H	AIT RASS H
PETER A VAN, AKEN	PETER A VAN	AKEN	PETER A VAN	AKEN	ISGC	PAV	AKEN PAV
ULIANA, AKHMETZYANOVA	ULIANA	AKHMETZYANOVA	ULIANA	AKHMETZYANOVA	ISGC	U	AKHMETZYANOVA U
GEOFFREY, AKIEN	GEOFFREY	AKIEN	GEOFFREY	AKIEN	ISGC	G	AKIEN G
JUBRIL, AKOLADE	JUBRIL	AKOLADE	JUBRIL	AKOLADE	ISGC	J	AKOLADE J
SYED M, AL-AMSYAR	SYED M	AL-AMSYAR	SYED M	AL AMSYAR	ISGC	SM	AL-AMSYAR SM
SYED M, AL AMSYAR	SYED M	AL AMSYAR	SYED M	AL AMSYAR	ISGC	SM	AL AMSYAR SM
LOUAY, AL HUSSAINI	LOUAY	AL HUSSAINI	LOUAY	AL HUSSAINI	ISGC	L	AL HUSSAINI L
ABDULLAH, AL-MAJID	ABDULLAH	AL-MAJID	ABDULLAH	AL MAJID	ISGC	A	AL-MAJID A
ABDULLAH, AL MAJID	ABDULLAH	AL MAJID	ABDULLAH	AL MAJID	ISGC	A	AL MAJID A
WALID, AL MAKSOUD	WALID	AL MAKSOUD	WALID	AL MAKSOUD	ISGC	W	AL MAKSOUD W
MAJD, AL-NAJI	MAJD	AL-NAJI	MAJD	AL NAJI	ISGC	M	AL-NAJI M
MAJD, AL NAJI	MAJD	AL NAJI	MAJD	AL NAJI	ISGC	M	AL NAJI M
HANY J, AL-NAJAR	HANY J	AL-NAJAR	HANY J	AL NAJJAR	ISGC	HJ	AL-NAJAR HJ
HANY J, AL NAJJAR	HANY J	AL NAJJAR	HANY J	AL NAJJAR	ISGC	HJ	AL NAJJAR HJ
HANI, AL-NAJJAR	HANI	AL-NAJJAR	HANY J	AL NAJJAR	other	H	AL-NAJJAR H
HANY, NAJJAR	HANY	NAJJAR	HANY J	AL NAJJAR	other	H	NAJJAR H
MOHAMMAD GHITH, AL-SHAAL	MOHAMMAD GHITH	AL-SHAAL	MOHAMMAD GHITH	AL SHAAL	ISGC	MG	AL-SHAAL MG
MOHAMMAD GHITH, AL SHAAL	MOHAMMAD GHITH	AL SHAAL	MOHAMMAD GHITH	AL SHAAL	ISGC	MG	AL SHAAL MG
DAVID, ALAIMO	DAVID	ALAIMO	DAVID	ALAIMO	ISGC	D	ALAIMO D
JOHAN, ALAUZUN	JOHAN	ALAUZUN	JOHAN	ALAUZUN	ISGC	J	ALAUZUN J
ANA CAROLINA, ALBA RUBIO	ANA CAROLINA	ALBA RUBIO	ANA CAROLINA	ALBA RUBIO	ISGC	AC	ALBA RUBIO AC
BELEN, ALBELA	BELEN	ALBELA	BELEN	ALBELA	ISGC	B	ALBELA B
MONIKA, ALBER	MONIKA	ALBER	MONIKA	ALBER	ISGC	M	ALBER M
JAKOB, ALBERT	JAKOB	ALBERT	JAKOB	ALBERT	ISGC	J	ALBERT J
STEFANIA, ALBONETTI	STEFANIA	ALBONETTI	STEFANIA	ALBONETTI	ISGC	S	ALBONETTI S
AYMÉS, ALBUQUERQUE BUYS GONÇALVES	AYMÉS	ALBUQUERQUE BUYS GONÇALVES	AYMES	ALBUQUERQUE BUYS GONCALVES	ISGC	A	ALBUQUERQUE BUYS GONCALVES A
AYMES, ALBUQUERQUE BUYS GONCALVES	AYMES	ALBUQUERQUE BUYS GONCALVES	AYMES	ALBUQUERQUE BUYS GONCALVES	ISGC	A	ALBUQUERQUE BUYS GONCALVES A
MIGUEL, ALCALDE	MIGUEL	ALCALDE	MIGUEL	ALCALDE	ISGC	M	ALCALDE M
EIDER, ALDALUR	EIDER	ALDALUR	EIDER	ALDALUR	ISGC	E	ALDALUR E
ELISABETE C B A, ALEGRIA	ELISABETE C B A	ALEGRIA	ELISABETE C B A	ALEGRIA	ISGC	ECBA	ALEGRIA ECBA
ELISABETE, ALEGRIA	ELISABETE	ALEGRIA	ELISABETE C B A	ALEGRIA	ISGC	E	ALEGRIA E
DANILO, ALEO	DANILO	ALEO	DANILO	ALEO	ISGC	D	ALEO D
HANNES, ALEX	HANNES	ALEX	HANNES	ALEX	ISGC	H	ALEX H
JOHN D, ALEXANDER	JOHN D	ALEXANDER	JOHN D	ALEXANDER	ISGC	JD	ALEXANDER JD
MIKE, ALEXANDRE	MIKE	ALEXANDRE	MIKE	ALEXANDRE	ISGC	M	ALEXANDRE M
